No.,label,Mnemonic,SubSpecies,Quadrat,PX,PY,PXE,PXN,PYE,PYN,UTM Northi,UTM Eastin,TreeID,Tag,StemID,StemTag,Census,DBH,HOM,Date,Codes,Stem,Status,geometry,easting_short,northing_short,tree_id
14544,Acacia brevispica,ACACBR,,4923,966.79883,446.86078,871.2655544,419.0421356,-193.684032,402.7046715,32230.06681,263587.0515,178552,493732,358762,493732,1,13.0,0.5,9/22/12,M,main,alive,POINT (263587.0515 32230.06681),263587.0,32230.0,4828
14562,Acacia brevispica,ACACBR,,4923,967.91296,443.16748,872.2695927,419.5250359,-192.0832354,399.3763213,32227.22136,263589.6564,178571,493841,358871,493841,1,25.0,0.5,9/22/12,M,main,alive,POINT (263589.6564 32227.22136),263590.0,32227.0,4970
14564,Acacia brevispica,ACACBR,,4923,962.5506,452.0835,867.4371091,417.2008142,-195.9477292,407.4113135,32232.93213,263580.9594,178580,493888,358918,493888,1,21.0,0.5,9/22/12,M,main,alive,POINT (263580.9594 32232.93213),263581.0,32233.0,4598
14617,Acacia brevispica,ACACBR,,4923,965.4306,458.97159,870.0325247,418.4491001,-198.933252,413.6187637,32240.38786,263580.5693,178604,494068,359098,494068,1,15.0,0.5,9/22/12,M,main,alive,POINT (263580.5693 32240.38786),263581.0,32240.0,4280
14625,Acacia brevispica,ACACBR,,4923,966.70544,450.3739,871.1813926,419.0016573,-195.2067328,405.870646,32233.1923,263585.4447,178618,494113,359143,494113,1,12.0,0.5,9/22/12,Q,main,alive,POINT (263585.4447 32233.1923),263585.0,32233.0,4631
14709,Acacia brevispica,ACACBR,,4924,963.2027,460.69281,868.0247724,417.4834556,-199.6792848,415.169903,32240.97336,263577.8155,178810,494721,359751,494721,1,24.0,0.5,5/23/13,M,main,alive,POINT (263577.8155 32240.97336),263578.0,32241.0,4232
14716,Acacia brevispica,ACACBR,,4924,964.39209,462.81757,869.096634,417.998976,-200.6002251,417.084707,32243.40368,263577.9664,178825,494827,359857,494827,1,15.0,0.5,5/23/13,M,main,alive,POINT (263577.9664 32243.40368),263578.0,32243.0,4159
14787,Acacia brevispica,ACACBR,,5009,980.86212,174.2227,883.9391942,425.137624,-75.51379875,157.0070552,31990.46468,263717.8954,179852,500695,363216,500695,1,17.0,0.5,4/13/12,M,main,alive,POINT (263717.8954 31990.46468),263718.0,31990.0,18469
14858,Acacia brevispica,ACACBR,,5017,983.08032,323.5636,885.938205,426.0990642,-140.2430141,291.5909811,32126.01005,263655.1652,180309,502248,364771,502248,1,21.0,0.5,4/25/12,M,main,alive,POINT (263655.1652 32126.01005),263655.0,32126.0,10795
14966,Acacia brevispica,ACACBR,,5017,995.87958,328.27792,897.4727187,431.6466808,-142.2863541,295.8394602,32135.80614,263664.6564,180395,502574,365097,502574,1,10.0,0.5,4/25/12,,main,alive,POINT (263664.6564 32135.80614),263665.0,32136.0,10186
14973,Acacia brevispica,ACACBR,,5018,998.59308,357.5752,899.9180868,432.8228002,-154.9847505,322.2417583,32163.38456,263654.4033,180433,502702,365225,502702,1,32.0,0.5,5/9/12,M,main,alive,POINT (263654.4033 32163.38456),263654.0,32163.0,8582
14997,Acacia brevispica,ACACBR,,5018,999.61481,352.63409,900.8388556,433.2656513,-152.8431123,317.7888992,32159.37455,263657.4657,180450,502772,365295,502772,1,14.0,0.5,5/9/12,,main,alive,POINT (263657.4657 32159.37455),263657.0,32159.0,8879
15040,Acacia brevispica,ACACBR,,5019,991.45367,371.1572,893.4841506,429.7283471,-160.8716321,334.4816663,32172.53001,263642.0825,180499,503007,365530,503007,1,15.0,0.5,5/11/12,,main,alive,POINT (263642.0825 32172.53001),263642.0,32173.0,7935
15041,Acacia brevispica,ACACBR,,5019,993.23822,374.4389,895.0923621,430.5018293,-162.2940279,337.4390883,32176.26092,263642.2683,180503,503044,365567,503044,1,19.0,0.5,5/11/12,M,main,alive,POINT (263642.2683 32176.26092),263642.0,32176.0,7817
